Index,Q1_text,Q1_code,Q2_text,Q2_code,Q3_text,Q3_code,Q4_text,Q4_code,Q5_text,Q5_code,Q6_text,Q6_code,Q7_text,Q7_code,Q8_text,Q8_code,Q9_text_original,Q9_code,Q10_text,Q10_code,Q11_text,Q11_code,Q12_text,Q12_code,Q13_text,Q13_code,Q14_text,Q14_code,Q15_text,Q15_code,Q16_text_original,Q16_code,Q17_text,Q17_code,Q18_text,Q18_code,Q19_text,Q19_code,Q20_text,Q20_code,Q21_text,Q21_code,Q22_text,Q22_code,Q23_text,Q23_code,Q24_text,Q24_code,Q25_text,Q25_code,Q26_text,Q26_code,Q27_text,Q27_code,Q28_text_original,Q28_code,Q29_text_original,Q29_code,Q30_text,Q30_code,Q31_text_original,Q31_code,Q32_text,Q32_code,Q33_text,Q33_code,Q34_text,Q34_code,Q29 text,Q16_text,Q9_text,Q28_text,Q29_text,Q31_text
6112,Grade 6,1,Female,2,I live with my parents,2,Yes,1,One,1,I have an older brother,3,Confident,4,Sometimes,3,"['Novels', 'Short stories', 'Comic books']","1,2,5",Sometimes,3,Often,4,Neutral,3,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']","1,3,4,5,6,7",Chinese,4,Math,1,English,2,30 minutes to 1 hour,2,Often,4,8-9 hours,3,Rarely,2,Every day,5,Less than 15 minutes,1,Healthy,4,A little stressed,2,"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","2,3,4,5,6,7,8,9","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']","1,2,3,4,7,8",2 hours,3,"['WeChat', 'Xiaohongshu']","1,4",Never,1,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']","['Novels', 'Short stories', 'Comic books']","['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']","['WeChat', 'Xiaohongshu']"
6113,Grade 6,1,Female,2,,-1,No,2,,-1 ,,-1,A little confident,2,Often,4,['Other'],6,Never,1,Sometimes,3,Neutral,3,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Participating in fun events', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']","1,3,5,6,7",,-1,,-1,,-1,1-2 hours,3,Sometimes,3,8-9 hours,3,Rarely,2,2-3 times per week,4,15-30 minutes,2,Neutral,3,Neutral,3,"['Listen to music', 'Draw or create art']","4,7","['Drawing', 'Listening to music', 'Arts and crafts']","2,7,9",Around 1 hour,2,"['WeChat', 'Xiaohongshu']","1,4",Once or twice per month,2,Occasionally (Once a month),2,,-1,,"['Meeting my friends', 'Participating in fun events', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']",['Other'],"['Listen to music', 'Draw or create art']","['Drawing', 'Listening to music', 'Arts and crafts']","['WeChat', 'Xiaohongshu']"
6114,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,A little confident,2,Rarely,2,['Comic books'],5,Always,5,Sometimes,3,Neutral,3,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",P.E.,12,English,2,P.E.,12,1-2 hours,3,Sometimes,3,6-7 hours,2,Rarely,2,Every day,5,15-30 minutes,2,Neutral,3,Neutral,3,"['Sports', 'Play games', 'Listen to music']","1,3,4","['Sports', 'Playing video games']","1,3",2-3 hours,4,"['WeChat', 'TikTok (Douyin)']","1,2",Once a week,3,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['Comic books'],"['Sports', 'Play games', 'Listen to music']","['Sports', 'Playing video games']","['WeChat', 'TikTok (Douyin)']"
6115,Grade 6,1,Female,2,I live with my parents,2,No,2,,-1 ,,-1,Neutral,3,Rarely,2,['Short stories'],2,Never,1,Sometimes,3,Neutral,3,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",English,2,Math,1,P.E.,12,30 minutes to 1 hour,2,Always,5,8-9 hours,3,Often,4,2-3 times per week,4,15-30 minutes,2,A little,2,Neutral,3,"['Talk to friends or family', 'Read books', 'Take a walk or go outside']","2,6,8","['Sports', 'Drawing', 'Watching videos', 'Listening to music', 'Socializing with friends']","1,2,4,7,8",Less than 1 hour,1,"['WeChat', 'Xiaohongshu', 'Other']","1,4,8",Never,1,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['Short stories'],"['Talk to friends or family', 'Read books', 'Take a walk or go outside']","['Sports', 'Drawing', 'Watching videos', 'Listening to music', 'Socializing with friends']","['WeChat', 'Xiaohongshu', 'Other']"
6116,Grade 6,1,Male,1,I live with my parents,2,Yes,1,,"1,4",,"1,4",Very confident,5,Rarely,2,"['Novels', 'Short stories', 'School materials', 'Comic books']","1,2,4,5",Never,1,Sometimes,3,Very confident,5,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",,-1,Art,11,,-1,30 minutes to 1 hour,2,Always,5,6-7 hours,2,Sometimes,3,Every day,5,More than 1 hour,4,Very healthy,5,A little stressed,2,"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Take a walk or go outside', 'Sleep or rest']","1,2,3,4,5,8,9","['Watching videos', 'Socializing with friends', 'Arts and crafts']","4,8,9",Less than 1 hour,1,['WeChat'],1,Every day,5,Occasionally (Once a month),2,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Short stories', 'School materials', 'Comic books']","['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Take a walk or go outside', 'Sleep or rest']","['Watching videos', 'Socializing with friends', 'Arts and crafts']",['WeChat']
6117,Grade 6,1,Male,1,I live with my parents,2,Yes,1,Two,2,,"1,2",A little confident,2,Rarely,2,"['Novels', 'Short stories', 'Other']","1,2,6",Never,1,Rarely,2,Neutral,3,No,2,Yes,1,Agree,4,"['Meeting my friends', 'Participating in fun events', 'Exploring my favorite subjects', 'Extracurricular activities']","1,3,6,7",Other,17,Art,11,STEM,16,1-2 hours,3,Sometimes,3,8-9 hours,3,Often,4,Every day,5,15-30 minutes,2,Neutral,3,Neutral,3,"['Talk to friends or family', 'Read books', 'Take a walk or go outside']","2,6,8","['Reading', 'Studying', 'Socializing with friends']","5,6,8",Around 1 hour,2,['Other'],8,Never,1,Never,1,,-1,,"['Meeting my friends', 'Participating in fun events', 'Exploring my favorite subjects', 'Extracurricular activities']","['Novels', 'Short stories', 'Other']","['Talk to friends or family', 'Read books', 'Take a walk or go outside']","['Reading', 'Studying', 'Socializing with friends']",['Other']
6118,Grade 6,1,Male,1,I live with my parents,2,Yes,1,One,1,I have an older sister,1,Not confident at all,1,Rarely,2,['Novels'],1,Rarely,2,Sometimes,3,Confident,4,Yes,1,Yes,1,Neutral,3,"['Participating in fun events', 'Extracurricular activities']","3,7",Math,1,Chinese,4,Math,1,More than 2 hours,4,Rarely,2,6-7 hours,2,Rarely,2,Once a month,2,More than 1 hour,4,A little,2,Neutral,3,"['Sports', 'Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","1,3,4,5,7,8,9","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends']","1,2,3,4,5,7,8",Less than 1 hour,1,"['Kuaishou', 'Other']","7,8",Never,1,Often (2-3 times a week),5,,-1,,"['Participating in fun events', 'Extracurricular activities']",['Novels'],"['Sports', 'Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends']","['Kuaishou', 'Other']"
6119,Grade 6,1,Female,2,,-1,Yes,1,One,1,I have a younger brother,4,Not confident at all,1,Sometimes,3,"['Novels', 'Short stories', 'School materials', 'Comic books']","1,2,4,5",Never,1,Rarely,2,A little confident,2,Yes,1,Yes,1,Disagree,2,"['Exploring my favorite subjects', 'Extracurricular activities']","6,7",Art,11,Math,1,Art,11,1-2 hours,3,Often,4,8-9 hours,3,Rarely,2,Every day,5,30-60 minutes,3,Healthy,4,A little stressed,2,"['Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest']","4,5,7,9","['Reading', 'Drawing', 'Listening to music']","5,2,7",Less than 1 hour,1,"['QQ', 'Xiaohongshu']","3,4",Once or twice per month,2,Occasionally (Once a month),2,,-1,,"['Exploring my favorite subjects', 'Extracurricular activities']","['Novels', 'Short stories', 'School materials', 'Comic books']","['Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest']","['Reading', 'Drawing', 'Listening to music']","['QQ', 'Xiaohongshu']"
6120,Grade 6,1,Female,2,I live with my parents,2,Yes,1,One,1,I have a younger brother,4,Confident,4,Sometimes,3,['School materials'],4,Never,1,Rarely,2,Confident,4,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",English Art,14,Math,1,Chinese,4,1-2 hours,3,Often,4,6-7 hours,2,Rarely,2,Never,1,Less than 15 minutes,1,Neutral,3,A little stressed,2,"['Talk to friends or family', 'Play games', 'Draw or create art', 'Sleep or rest', 'Other']","2,3,7,9,10","['Drawing', 'Playing video games', 'Socializing with friends', 'Arts and crafts', 'Other']","2,3,8,9,10",Around 1 hour,2,"['WeChat', 'TikTok (Douyin)', 'Other']","1,2,8",Never,1,Occasionally (Once a month),2,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['School materials'],"['Talk to friends or family', 'Play games', 'Draw or create art', 'Sleep or rest', 'Other']","['Drawing', 'Playing video games', 'Socializing with friends', 'Arts and crafts', 'Other']","['WeChat', 'TikTok (Douyin)', 'Other']"
6121,Grade 6,1,Male,1,I live in the dorm,1,Yes,1,One,1,I have a younger brother,4,Not confident at all,1,Sometimes,3,['Comic books'],5,Always,5,Always,5,Not confident at all,1,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",History,8,English,2,Chinese,4,30 minutes to 1 hour,2,Always,5,8-9 hours,3,Often,4,Every day,5,30-60 minutes,3,Very healthy,5,Not stressed at all,1,"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Sleep or rest', 'Other']","1,2,3,4,5,6,9,10","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Studying', 'Listening to music', 'Socializing with friends']","1,2,3,4,5,6,7,8",Less than 1 hour,1,['Bilibili'],6,Once a week,3,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['Comic books'],"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Sleep or rest', 'Other']","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Studying', 'Listening to music', 'Socializing with friends']",['Bilibili']
6122,Grade 6,1,Female,2,I live in the dorm,1,Yes,1,Two,2,,"3,4",A little confident,2,Every day,5,"['Novels', 'Comic books']","1,5",Sometimes,3,Often,4,Confident,4,Yes,1,Yes,1,Strongly agree,5,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,6,7,8",Other,17,English,2,Chinese,4,30 minutes to 1 hour,2,Always,5,6-7 hours,2,Sometimes,3,Every day,5,More than 1 hour,4,Very healthy,5,Stressed,4,"['Play games', 'Listen to music', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","3,4,7,8,9","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Arts and crafts']","2,3,4,7,9",Around 1 hour,2,['Other'],8,Once or twice per month,2,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Comic books']","['Play games', 'Listen to music', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Arts and crafts']",['Other']
6202,Grade 6,1,Female,2,I live with my parents,2,No,2,,-1,,-1,Neutral,3,Sometimes,3,"['Short stories', 'Comic books']","2,5",Sometimes,3,Always,5,Very confident,5,No,2,Yes,1,Agree,4,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",Art,11,Math,1,Moral Education,10,30 minutes to 1 hour,2,Always,5,8-9 hours,3,Often,4,2-3 times per week,4,30-60 minutes,3,Healthy,4,Neutral,3,"['Talk to friends or family', 'Listen to music', 'Draw or create art']","2,4,7","['Drawing', 'Watching videos', 'Listening to music', 'Arts and crafts']","2,4,7,9",Less than 1 hour,1,['WeChat'],1,Once or twice per month,2,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Short stories', 'Comic books']","['Talk to friends or family', 'Listen to music', 'Draw or create art']","['Drawing', 'Watching videos', 'Listening to music', 'Arts and crafts']",['WeChat']
